"Name","Acronym","City","AlterCity","District","State","Catagory","Federation","Website","Country","Contact","Logo",
"Avinashilingam Deemed University For Women","#","Coimbatore","#","Coimbatore","Tamil nadu","Deemed","UGC","http://avinuty.ac.in/maincampus/","India",,,
"Academy of Maritime Education and Training","AMET","Chennai","Madras","Chennai","Tamil nadu","Deemed","UGC","http://www.ametuniv.ac.in/","India",,,
"Amrita Vishwa Vidyapeetham University","AMRITA","Coimbatore","#","Coimbatore","Tamil nadu","Deemed","UGC","https://www.amrita.edu/","India",,,
"B.S.Abdur Rahman Institute of Science and Technology","#","Chennai","Madras","Chennai","Tamil nadu","Deemed","UGC","http://www.bsauniv.ac.in/","India",,,
"Bharath Institute of Higher Education & Research","BIHER","Chennai","Madras","Chennai","Tamil nadu","Deemed","UGC","https://bharathuniv.ac.in/","India",,,
"Chennai Mathematical Institute","CMI","Chennai","Madras","Chennai","Tamil nadu","Deemed","UGC","http://www.cmi.ac.in/","India",,,
"Chettinad Academy of Research and Education","CARE","Kanchipuram","#","Kanchipuram","Tamil nadu","Deemed","UGC","http://chettinadhealthcity.com/university/index.htm","India",,,
"Gandhigram Rural Institute","#","Dindigul","#","Dindigul","Tamil nadu","Deemed","UGC","http://www.ruraluniv.ac.in/","India",,,
"Hindustan Institute of Technology and Science","HITS","Chennai","Madras","Chennai","Tamil nadu","Deemed","UGC","http://hindustanuniv.ac.in/","India",,,
"Kalasalingam Academy of Research and Higher Education","#","Virudhunagar","#","Virudhunagar","Tamil nadu","Deemed","UGC","http://kalasalingam.ac.in/site/","India",,,
"Karpagam Academy of Higher Education","#","Coimbatore","#","Coimbatore","Tamil nadu","Deemed","UGC","http://kahedu.edu.in/","India",,,
"Karunya Institute of Technology and Sciences","KITS","Coimbatore","#","Coimbatore","Tamil nadu","Deemed","UGC","http://www.karunya.edu/","India",,,
"M.G.R. Educational and Research Institute","#","Chennai","Madras","Chennai","Tamil nadu","Deemed","UGC","http://www.drmgrdu.ac.in/","India",,,
"Meenakshi Academy of Higher Education and Research","MAHER","Chennai","Madras","Chennai","Tamil nadu","Deemed","UGC","http://maheruniversity.org/","India",,,
"Noorul Islam Centre for Higher Education","#","Kanyakumari","#","Kanyakumari","Tamil nadu","Deemed","UGC","http://niuniv.com/","India",,,
"Periyar Maniammai Institute of Science & Technology","PMIST","Thanjavur","#","Thanjavur","Tamil nadu","Deemed","UGC","http://www.pmu.edu/","India",,,
"Ponnaiyah Ramajayam Institute of Science & Technology","PRIST","Thanjavur","#","Thanjavur","Tamil nadu","Deemed","UGC","http://prist.ac.in/","India",,,
"S.R.M. Institute of Sciences and Technology","SRM","Kanchipuram","#","Kanchipuram","Tamil nadu","Deemed","UGC","http://www.srmuniv.ac.in/","India",,,
"Sathyabama Institute of Science and Technology","#","Chennai","Madras","Chennai","Tamil nadu","Deemed","UGC","http://www.sathyabamauniversity.ac.in/","India",,,
"Saveetha Institute of Medical and Technical Sciences","#","Chennai","Madras","Chennai","Tamil nadu","Deemed","UGC","#","India",,,
"Shanmugha Arts Science Technology Research & Academy","SASTRA","Thanjavur","#","Thanjavur","Tamil nadu","Deemed","UGC","http://www.sastra.edu/","India",,,
"Sri Chandrasekharandra Saraswati Vishwa Mahavidyalaya Universiry","SVSCMV","Kanchipuram","#","Kanchipuram","Tamil nadu","Deemed","UGC","http://kanchiuniv.ac.in/","India",,,
"Sri Ramachandra Medical College and Research Institute","#","Chennai","Madras","Chennai","Tamil nadu","Deemed","UGC","http://www.sriramachandra.edu.in/","India",,,
"St.Peters Institute of Higher Education and Research","#","Chennai","Madras","Chennai","Tamil nadu","Deemed","UGC","http://stpetersuniversity.org/","India",,,
"VelTech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology","VETTECH","Chennai","Madras","Chennai","Tamil nadu","Deemed","UGC","http://vel-tech.org/","India",,,
"Vels Institute of Science Technology & Advanced Studies","VISTAS/Vel'sUniversity","Chennai","Madras","Chennai","Tamil nadu","Deemed","UGC","http://velsuniv.ac.in/","India",,,
"Vellore Institute of Technology","VIT","Vellore","#","Vellore","Tamil nadu","Deemed","UGC","http://www.vit.ac.in/","India",,,
"Vinayaka Missions research and foundation","#","Salem","#","Salem","Tamil nadu","Deemed","UGC","http://www.vinayakamission.com/","India",,,
"Chinmaya Vishwavidyapeeth Adi Sankara Nilayam","CIF","Ernakulam","#","Ernakulam","Kerala","Deemed","UGC","http://www.chinfo.org/","India",,,
"Indian Institute of Space Science and Technology","IIST","Thiruvananthapuram","Trivandrum","Thiruvananthapuram","Kerala","Deemed","UGC","https://www.iist.ac.in/","India",,,
"Kerala Kalamandalam","#","Thrissur","#","Thrissur","Kerala","Deemed","UGC","http://kalamandalam.org/","India",,,
"B.L.D.E. University","BLDE","Vijayapura","Bijapur","Vijayapura","Karnataka","Deemed","UGC","http://www.bldeuniversity.ac.in/","India",,,
"Christ University","#","Bengaluru","Bangalore","Bengaluru","Karnataka","Deemed","UGC","https://christuniversity.in//","India",,,
"Indian Institute of Science","IISc","Bengaluru","Bangalore","Bengaluru","Karnataka","Deemed","UGC","http://www.iisc.ac.in/","India",,,
"International Institute of Information Technology","IIIT-B","Bengaluru","Bangalore","Bengaluru","Karnataka","Deemed","UGC","https://www.iiitb.ac.in/","India",,,
"Jagadguru Sri Shivarathreeswara University","JSS","Mysuru","Mysore","Mysuru","Karnataka","Deemed","UGC","http://www.jssuni.edu.in/JSSWeb/WebHome.aspx","India",,,
"Jain University","#","Bengaluru","Bangalore","Bengaluru","Karnataka","Deemed","UGC","https://www.jainuniversity.ac.in/","India",,,
"Jawaharlal Nehru Centre for Advanced Scientific Research","JNCASR","Bengaluru","Bangalore","Bengaluru","Karnataka","Deemed","UGC","http://www.jncasr.ac.in/","India",,,
"KLE Academy of Higher Education and Research","#","Belagavi","Belgaum","Belagavi","Karnataka","Deemed","UGC","http://kleuniversity.edu.in/","India",,,
"NITTE University","NITTE","Mangalore","Mangaluru","Dakshina kannada","Karnataka","Deemed","UGC","http://nitte.edu.in/","India",,,
"Sri Devraj Urs Academy of Higher Education and Research","SDUAHER","Kolar","#","Kolar","Karnataka","Deemed","UGC","http://sduu.ac.in/","India",,,
"Sri Siddhartha Academy of Higher Education","#","Tumakuru","Tumkur","Tumakuru","Karnataka","Deemed","UGC","http://www.sahe.in/","India",,,
"Swami Vivekananda Yoga Anusandhana Samsthana","VYASA","Bengaluru","Bangalore","Bengaluru","Karnataka","Deemed","UGC","http://vyasa.org/","India",,,
"Gandhi Institute of Technology and Management","GITAM","Visakhapatnam","pune","Visakhapatnam","Andhra pradesh","Deemed","UGC","http://www.gitam.edu/","India",,,
"Koneru Lakshmaiah Education Foundation","KL","Vaddeswaram","#","Guntur","Andhra pradesh","Deemed","UGC","https://www.kluniversity.in/","India",,,
"Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeeth","#","Tirupati","#","Chittoor","Andhra pradesh","Deemed","UGC","#","India",,,
"Sri Sathya Sai Institute of Higher Learning","SSSIHL","Anantapur","#","Anantapur","Andhra pradesh","Deemed","UGC","http://sssihl.edu.in/","India",,,
"Vignan''s Foundation for Science Technology and Research","VFSTR","Vadlamudi","#","Guntur","Andhra pradesh","Deemed","UGC","http://vignanuniversity.org/","India",,,
"ICFAI Foundation for Higher Education","ICFAI","Hyderabad","#","Hyderabad","Telangana","Deemed","UGC","http://icfai.org/hyderabad.html","India",,,
"International Institute of Information Technology","IIIT","Hyderabad","#","Hyderabad","Telangana","Deemed","UGC","https://www.iiit.ac.in/","India",,,
"Bharati Vidyapeeth University","BVDU","Pune","#","Pune","Maharashtra","Deemed","UGC","http://www.bharatividyapeeth.edu/default.htm","India",,,
"Central Institute of Fisheries Education","CIFE","Mumbai","Bombay","Mumbai","Maharashtra","Deemed","UGC","http://cife.edu.in/CIFENEW/index.html","India",,,
"D.Y. Patil Educational Society","#","Kolhapur","#","Kolhapur","Maharashtra","Deemed","UGC","http://www.dypatilunikop.org/","India",,,
"Datta Meghe Institute of Medical Sciences","DMIMS","Wardha","#","Wardha","Maharashtra","Deemed","UGC","http://www.dmimsu.edu.in/","India",,,
"Deccan College of Post-Graduate & Research Institute","#","Pune","#","Pune","Maharashtra","Deemed","UGC","http://dcpune.ac.in/","India",,,
"Dr. D.Y. Patil Vidyapeeth","DPU","Pune","#","Pune","Maharashtra","Deemed","UGC","http://www.dpu.edu.in/","India",,,
"Gokhale Institute of Politics & Economics","GIPE","Pune","#","Pune","Maharashtra","Deemed","UGC","http://gipe.ac.in/","India",,,
"Homi Bhabha National Institute","HBNI","Mumbai","Bombay","Mumbai","Maharashtra","Deemed","UGC","http://www.hbni.ac.in/","India",,,
"Indira Gandhi Institute of Development Research","IGIDR","Mumbai","Bombay","Mumbai","Maharashtra","Deemed","UGC","http://www.igidr.ac.in/","India",,,
"Defence Institute of Armament Technology","DIAT","Pune","#","Pune","Maharashtra","Deemed","UGC","http://www.diat.ac.in/","India",,,
